cell,dong_to_miao,miao_to_dong,li_to_miao,miao_to_li,yi_to_miao,miao_to_yi,yi_to_tibetan,tibetan_to_yi
claude-haiku-4.5|en,0.6906354515050167,0.3016666666666667,0.5,0.0033333333333333335,0.5433333333333333,0.015,0.0033333333333333335,0.23333333333333334
claude-haiku-4.5|zh,0.3528428093645485,0.6482412060301508,0.24666666666666667,0.0033500837520938024,0.25333333333333335,0.07035175879396985,0.0016666666666666668,0.27666666666666667
gpt-4o-mini|en,0.993322203672788,0.00333889816360601,0.94,0.0,0.895,0.00667779632721202,0.005,0.16166666666666665
gpt-4o-mini|zh,0.9833055091819699,0.00333889816360601,0.94,0.0,0.9183333333333333,0.001669449081803005,0.006666666666666667,0.09
llama-3.2-vision-11b|en,0.9933333333333333,0.0,0.9633333333333334,0.0,0.9916666666666667,0.0,0.0,0.07333333333333333
llama-3.2-vision-11b|zh,0.8633333333333333,0.09166666666666666,0.74,0.0,0.5166666666666667,0.045,0.01,0.4266666666666667
qwen2-vl-7b|en,0.985,0.0,0.9583333333333334,0.0,0.8383333333333334,0.005,0.021666666666666667,0.05
qwen2-vl-7b|zh,0.9283333333333333,0.015,0.875,0.0,0.745,0.0033333333333333335,0.006666666666666667,0.13833333333333334
qwen2.5-vl-7b|en,0.9716666666666667,0.005,0.94,0.0,0.88,0.0,0.028333333333333332,0.005
qwen2.5-vl-7b|zh,0.6283333333333333,0.505,0.38166666666666665,0.0,0.4683333333333333,0.015,0.058333333333333334,0.006666666666666667
