ethnic_group,language,qwen2-vl-7b,qwen2.5-vl-7b,qwen25_minus_qwen2
Miao,zh,0.9816666666666668,0.475,-0.5066666666666668
Dong,zh,0.0666666666666666,0.3683333333333333,0.3016666666666667
Tibetan,zh,0.7483333333333333,0.96,0.21166666666666667
Yi,en,0.1366666666666666,0.0416666666666666,-0.095
Li,zh,0.035,0.0683333333333333,0.0333333333333333
Yi,zh,0.0733333333333333,0.0983333333333333,0.024999999999999994
Dong,en,0.0116666666666666,0.025,0.013333333333333402
Li,en,0.025,0.0183333333333333,-0.006666666666666703
Tibetan,en,0.8966666666666666,0.8933333333333333,-0.0033333333333332993
Miao,en,0.995,0.995,0.0
