model,group,name_zh,tokens_zh,name_en,tokens_en
qwen2-vl-7b,Miao,苗族,2,Miao,2
qwen2-vl-7b,Dong,侗族,2,Dong,2
qwen2-vl-7b,Yi,彝族,2,Yi,2
qwen2-vl-7b,Li,黎族,2,Li,1
qwen2-vl-7b,Tibetan,藏族,2,Tibetan,4
qwen2.5-vl-7b,Miao,苗族,2,Miao,2
qwen2.5-vl-7b,Dong,侗族,2,Dong,2
qwen2.5-vl-7b,Yi,彝族,2,Yi,2
qwen2.5-vl-7b,Li,黎族,2,Li,1
qwen2.5-vl-7b,Tibetan,藏族,2,Tibetan,4
llama-3.2-vision-11b,Miao,苗族,2,Miao,2
llama-3.2-vision-11b,Dong,侗族,3,Dong,2
llama-3.2-vision-11b,Yi,彝族,3,Yi,2
llama-3.2-vision-11b,Li,黎族,2,Li,1
llama-3.2-vision-11b,Tibetan,藏族,2,Tibetan,4
gpt-4o-mini,Miao,苗族,2,Miao,2
gpt-4o-mini,Dong,侗族,3,Dong,1
gpt-4o-mini,Yi,彝族,3,Yi,1
gpt-4o-mini,Li,黎族,2,Li,1
gpt-4o-mini,Tibetan,藏族,2,Tibetan,3
