model,group,acc_zh,acc_en,LES_pergroup,abs_delta_zh_minus_en
claude-haiku-4.5,Miao,0.275,0.678,-0.595,-0.403
claude-haiku-4.5,Dong,0.545,0.26,1.096,0.285
claude-haiku-4.5,Yi,0.438,0.25,0.753,0.188
claude-haiku-4.5,Li,0.027,0.022,0.231,0.005
claude-haiku-4.5,Tibetan,0.365,0.21,0.738,0.155
gpt-4o-mini,Miao,0.993,0.988,0.005,0.005
gpt-4o-mini,Dong,0.013,0.005,1.667,0.008
gpt-4o-mini,Yi,0.05,0.095,-0.474,-0.045
gpt-4o-mini,Li,0.01,0.003,2.0,0.007
gpt-4o-mini,Tibetan,0.773,0.665,0.163,0.108
llama-3.2-vision-11b,Miao,0.863,0.997,-0.134,-0.133
llama-3.2-vision-11b,Dong,0.065,0.0,65.0,0.065
llama-3.2-vision-11b,Yi,0.417,0.007,61.5,0.41
llama-3.2-vision-11b,Li,0.0,0.0,0.0,0.0
llama-3.2-vision-11b,Tibetan,0.547,0.345,0.585,0.202
qwen2-vl-7b,Miao,0.982,0.995,-0.013,-0.013
qwen2-vl-7b,Dong,0.067,0.012,4.714,0.055
qwen2-vl-7b,Yi,0.073,0.137,-0.463,-0.063
qwen2-vl-7b,Li,0.035,0.025,0.4,0.01
qwen2-vl-7b,Tibetan,0.748,0.897,-0.165,-0.148
qwen2.5-vl-7b,Miao,0.475,0.995,-0.523,-0.52
qwen2.5-vl-7b,Dong,0.368,0.025,13.733,0.343
qwen2.5-vl-7b,Yi,0.098,0.042,1.36,0.057
qwen2.5-vl-7b,Li,0.068,0.018,2.727,0.05
qwen2.5-vl-7b,Tibetan,0.96,0.893,0.075,0.067
