model,origin,language,n,accuracy,accuracy_ci_lo,accuracy_ci_hi,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi
claude-haiku-4.5,western,en,3000,0.284,0.26866666666666666,0.3013416666666667,0.25381176846885584,0.23862970771849779,0.26910413405822997
claude-haiku-4.5,western,zh,3000,0.33,0.31333333333333335,0.3466666666666667,0.31442337713286317,0.2992938280884934,0.33066657436061714
gpt-4o-mini,western,en,3000,0.35133333333333333,0.335,0.368675,0.27123316775582335,0.260717266165668,0.28230328979384406
gpt-4o-mini,western,zh,3000,0.368,0.35133333333333333,0.38566666666666666,0.2796144350448323,0.26935230573148994,0.28935814713821634
llama-3.2-vision-11b,western,en,3000,0.26966666666666667,0.255,0.2866666666666667,0.17677429454815857,0.1667753805502376,0.1868758718733407
llama-3.2-vision-11b,western,zh,3000,0.37833333333333335,0.36065833333333336,0.395675,0.3233418129950148,0.30978951070026267,0.3366155263602035
qwen2-vl-7b,chinese,en,3000,0.413,0.3963333333333333,0.4313416666666667,0.3287338976708735,0.3166168095521891,0.3410023684469647
qwen2-vl-7b,chinese,zh,3000,0.381,0.36499166666666666,0.398,0.31277844363386353,0.3000711414577421,0.3262906002602929
qwen2.5-vl-7b,chinese,en,3000,0.39466666666666667,0.37866666666666665,0.41234166666666666,0.29873266154979394,0.28801863372646846,0.31021081128123124
qwen2.5-vl-7b,chinese,zh,3000,0.394,0.377,0.411,0.3652616148546123,0.35062256794008406,0.3792692217053572
